2022-01-28 07:35:49,308 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/fall-quarter-2016-week-4-mentorship-reveal, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:35:51,311 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/fall-quarter-2016-week-3-pwc-info-session, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:35:53,286 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/fall-quarter-2016-week-3-wics-games, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:35:55,267 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/fall-quarter-2016-week-2-social-meet-and-greet-event, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:35:57,185 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/fall-quarter-2016-week-1-mentorship-mixer, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:00,290 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/fall-quarter-2016-first-general-meeting, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:02,438 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/wics-is-awarded-the-trailblazer-award-from-ncwit-and-google-org, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:04,354 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/fall-quarter-2016-week-1-mentorship-mixer/img_2349, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:05,983 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/fall-quarter-2016-week-1-mentorship-mixer/img_2377, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:07,572 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/fall-quarter-2016-week-1-mentorship-mixer/img_2366, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:09,298 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/fall-quarter-2016-week-1-mentorship-mixer/img_2351, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:11,010 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/fall-quarter-2016-week-1-mentorship-mixer/img_2338, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:12,601 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/fall-quarter-2016-week-1-mentorship-mixer/img_2341, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:14,221 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/fall-quarter-2016-week-1-mentorship-mixer/img_2335, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:15,797 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/fall-quarter-2016-prosky-interactive-info-session, status <601>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:16,320 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/winter-quarter-2017-week-4-crime-and-mystery-game-night, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:18,263 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/fall-quarter-2016-wk-7-summer-internship-panel, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:20,202 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/i-htm, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:22,132 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/fall-quarter-2016-week-6-facebook-diversity-panel, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:24,026 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/winter-quarter-2017-week-1-general-meeting, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:26,227 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/wics-attends-gracehopper-conference-2016, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:28,216 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/fall-quarter-week-4-study-session, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:30,172 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/winter-quarter-2017-mock-technical-interviews-prep-workshop, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:32,123 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/author/hitekpnai/page/3, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:34,824 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/fall-quarter-2017-week-5-wics-mentorship-reveal, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:37,065 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/winter-quarter-2017-week-8-wics-mentorship-baked-goods-potluck-and-movie-night, status <601>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:37,651 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/winter-quarter-2017-week-5-twilio-info-session, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:39,552 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/fall-quarter-2017-week-1-wics-first-general-meeting, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:41,528 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/author/zeronidan, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:43,701 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/spring-quarter-2017-week-1-general-meeting, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:45,632 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/spring-quarter-2017-week-2-intro-to-command-line-workshop-w-hack, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:47,652 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/spring-quarter-2017-week-3-blizzard-tour, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:49,549 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/category/news/wics-meeting, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:53,634 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/category/news/info-session, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:36:58,242 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/witi-comes-to-uci, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:00,691 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/cia-info-session-with-wics, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:02,921 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/week-8-thanksgiving-potluck, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:05,039 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/week-10-hour-of-code, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:07,287 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/web-development-projects-awards, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:09,447 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/first-wics-meeting-of-winter-14, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:11,666 - Worker-0 - INFO - Downloaded http://wics.ics.uci.edu/project-development, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:14,015 - Worker-0 - INFO - Downloaded http://wics.ics.uci.edu/android-app-rewards, status <404>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:14,552 - Worker-0 - INFO - Downloaded http://wics.ics.uci.edu/first-project-meeting-by-wics, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:16,720 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/grace-hopper-celebration-2013, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:18,981 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/week-2-broadcom-info-session, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:21,198 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/week-3-resume-workshop, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:23,792 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/week-4-capgeminis-women-in-consulting-night-w-swe-icssc, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:25,863 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/annual-mentorship-program-2013, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:28,137 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/wics-week-0-meet-and-greet, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:30,787 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/aspire-it-camp-techie-girls, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:32,849 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/wics-summer-session-workshop, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:35,831 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/5, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:37,512 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/6, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:39,114 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/1, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:40,735 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/2, status <601>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:41,262 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/ics-banquet, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:43,503 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/western-digital-tour-luncheon-with-female-engineers, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:45,619 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/4, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:47,302 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/3, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:48,962 - Worker-0 - INFO - Downloaded http://wics.ics.uci.edu/event/week-1-general-meeting-mentorship-program, status <601>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:49,492 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/week-5-women-in-technology-talk-by-northrop-grumman, status <200>, using cache ('styx.ics.uci.edu', 9005).
2022-01-28 07:37:51,640 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/category/news/info-session/page/2, status <200>, using cache ('styx.ics.uci.edu', 9005).
